"name","cas","dcb","code","pharmacy"
algodao,,,"12499",a
algodao floral (sg),,,"4283",b
algodoeiro homeo,,,"7849",b
algowhite,,,"3138",b
alho extrato seco 1%,,,"12223",b
alho po,,,"9268",c
alistin,,,"6035",a
alistin,,,"76405",b
alistin,,,"6865",c
allicum cepa 5ch  p. ho,,,"7757",b
allium cepa ho,,,"4500",c
allium cepa homeo,,,"3033",b
allium cepa tm,,,"10666",b
allium floral (sg),,,"3501",b
allium s. germain,,,"7832",b
allium sativum ho,,,"4565",c
allium sativum homeo,,,"5982",b
allium sativum tm,,,"10564",b
alluvia,,,"6120",c
alluvia,,,"11030",b
alluvia  sob encom,,,"11145",a
allyl abg,,,"12540",b
almomd floral (cal),,,"6820",b
aloe floral (sg),,,"3508",b
aloe vera floral (cal),,,"7319",b
aloe vera floral (cal),,,"21817",b
aloe vera homeo,,,"6244",b
aloe vera po uso externo,,,"3958",b
aloe vera po uso externo,,,"13686",a
aloe vera tm,,,"9204",b
aloina,,,"50568",b
aloina,,,"4185",c
aloina,"5133197","0582","50568",a
alopurinol,"315300","00585","50830",a
alopurinol,,,"50830",b
alopurinol **,,"00585","6898",c
alpha arbutim,"84380018",,"414",a
alpine aster (cal),,,"14823",b
alpine lily floral (cal),,,"6909",b
alpine mint bush floral (aus),,,"7207",b
alprazolam,"28981977","00597","4771",c
alprazolam dil 1/10,,,"3919",b
alprazolam mp,"28981977","00597","41257",a
althaea floral (mg),,,"6759",b
alti lix,,,"10900",b
altilix,,,"8592",c
altilix (galena acabou,,,"11322",a
alumem potassio,,,"50581",b
alumen - po pouco,,,"14451",a
alumina ho,,,"4504",c
alumina homeo,,,"5072",b
aluminio cloridrox 50%,,,"3989",c
aluminio duplo,,,"14942",b
aluminio duplo orod/subl pers,,,"8544",c
aluminium metallicum homeo,,,"8367",b
alunina homeo,,,"9796",b
amaranthus floral (mg),,,"6821",b
ambra grisea homeo,,,"7400",b
ambrosia artemisifolia homeo,,,"6252",b
ameixa floral (sg),,,"4481",b
amida 90,,,"4146",c
amidalas,,,"4355",b
amido,"9005258","00657","14592",a
amido de milho **,,"00657","3970",c
amido farmaceutico,,,"50763",b
amigdalas e tecido adenoide,,,"10099",b
amigdalus (sg),,,"12352",b
amigel,,,"3852",b
"amilorida cloridrato feq1,13",,,"5343",c
amilorida hcl,"2016888","00672","63022",a
amiloride,,,"63022",b
amiloride 1/10,,,"14381",b
amino mp9,,,"13738",b
aminoacidos da seda,,,"436",a
aminoacidos do leite,,,"76880",b
aminoacidos do trigo,,,"3876",b
amiodarona,,,"59894",b
amiodarona hcl,"19774824","00700","59894",a
amisoft cs22,,,"9662",c
amisoft cs22,"68187304",,"24351",a
amisol trio,,,"8117",b
amitriptilina,"549188","00712","58026",b
amitriptilina cloridrato,"50486","00711","5086",c
amitriptilina hcl,"549188","00712","58026",a
amlodipina diluida 1/10,,,"3905",b
ammonium muriaticum homeo,,,"6264",b
amonium phosphoricum homeo,,,"6692",b
amora ext seco,,,"8615",c
amora folha ext seco 07/08/21,"90064112",,"23138",a
amora homeo,,,"14130",b
amora tintura,,,"5348",c
amora tm,,,"6810",b
amp 95,"124685","10910","24281",a
amp-95,,,"6375",c
ampk sinergy,,,"12387",b
amygdalus floral (sg),,,"4484",b
anacardium occidentale tm,,,"14939",b
